Fig3_TE_360,,Fig3_TE_90,,Fig3_TE_180,,Fig3_SM_360,,Fig3_SM_180,,Fig3_SM_90,,Fig3_IH_360,,Fig3_IH_180,,Fig3_IH_90,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
208.7529780564248,108.9787272727275,211.9068338557979,108.59070855615005,213.71586206896416,111.56149732620361,244.55071374906083,7131.285561497327,244.55071374906083,7131.285561497327,240.16650717703124,161.94670419363922,239.2809917355372,389.3675579322662,244.55071374906083,389.3675579322662,212.31705484598024,2698.871714044466
225.02369905955936,123.35877406831003,229.05705329153432,121.9992513368984,234.33404388714564,124.98098144070468,355.21487603305786,7127.792751039811,355.21487603305786,7127.792751039811,355.70482758620483,150.6839572192514,349.94515401953413,389.84385026738164,355.21487603305786,389.84385026738164,420.92411720510916,3950.236337811528
268.62161755485647,162.8458581772427,256.37191222570345,138.46125401069514,266.5791279566804,160.67750584903678,455.3395942900074,7116.996791443851,448.3132982719758,6919.573618538325,466.5216300940418,138.28844919786104,461.66326070623586,383.3693262032066,467.1964688204357,468.2701461675606,372.73027798647627,3560.521925133691
246.1316614420042,140.36210695187162,291.2082758620668,156.9982635829581,252.3385579937284,143.6740849985929,560.7340345604807,7131.285561497327,520.5524042073628,6474.8951871657755,577.3384326018792,128.1791443850268,559.7459616829451,388.5935828877009,561.1922712573089,804.174936061394,468.51389932381676,4357.692406417113
300.2964263322858,188.93767379679144,327.3418751781112,175.7983506895581,296.14139640923065,184.81979935475312,710.9211119459053,7130.6604278074865,566.7565740045079,6083.91871657754,688.155235109716,120.2488770053476,691.818369646882,389.21871657753945,634.5101427498121,1149.4180559924534,521.2111194590534,4786.784171122994
324.0428840125363,206.81024598930486,368.6463197492137,191.24441711229952,316.12739811911956,200.75270053475936,861.1081893313299,7129.142245989306,628.4296942726694,5654.046565199507,798.9720376175534,113.92609625668456,796.1149511645381,387.6211527035084,732,1587.0998930481292,579.1780616078136,5239.214260249555
347.78934169278693,224.51671122994657,421.6672100313451,208.97320855614976,337.2353605015644,216.13098930481283,969.137490608565,7131.285561497327,717.6964688204357,5200.158288770053,909.7888401253903,108.85358288770055,895.0320247933885,389.21871657753945,834.7595792637114,2062.306783000282,641.0339398294841,5730.973453599536
368.8973040752318,239.32629071463293,492.52965517241057,223.8335294117647,360.981818181815,233.70885561497323,1045.987603305785,7131.285561497327,828.4359128474832,4785.450552584671,1020.6056426332274,104.53122994652404,1029.739293764087,388.66712802768234,921.7099924868519,2460.548591800356,702.051959349915,6178.302817422742
402.4438871473318,259.14900315370915,572.852990595608,235.06293983957215,415.3348213166107,268.76196951123757,1190.4658151765589,7131.285561497327,943.3158527422991,4456.7135828877,1131.4224451410641,101.2448128342246,1171.3630728775356,388.5935828877009,1013.9301277235161,2821.90818436466,821.9869271224638,6964.681880768469
