TE_360,,TE_180,,TE_90,,SM_360,,SM_180,,SM_90,,IH_360,,IH_180,,IH_90,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
192.413793103447,96.1764705882353,195.517241379309,96.6176470588235,195.517241379309,96.1764705882353,185.950413223141,7129.41176470588,244.550713749061,7131.28556149733,240.166507177031,161.946704193639,239.280991735537,389.367557932266,244.550713749061,389.367557932266,212.31705484598,2698.87171404447
208.752978056425,108.978727272728,213.715862068964,111.561497326204,211.906833855798,108.59070855615,244.550713749061,7131.28556149733,355.214876033058,7127.79275103981,355.704827586205,150.683957219251,349.945154019534,389.843850267382,355.214876033058,389.843850267382,297.520661157025,3011.76470588235
225.023699059559,123.35877406831,234.334043887146,124.980981440705,229.057053291534,121.999251336898,355.214876033058,7127.79275103981,448.313298271976,6919.57361853833,466.521630094042,138.288449197861,461.663260706236,383.369326203207,467.196468820436,468.270146167561,372.730277986476,3560.52192513369
246.131661442004,140.362106951872,252.338557993728,143.674084998593,256.371912225703,138.461254010695,455.339594290007,7116.99679144385,520.552404207363,6474.89518716578,577.338432601879,128.179144385027,559.745961682945,388.593582887701,561.192271257309,804.174936061394,420.924117205109,3950.23633781153
268.621617554856,162.845858177243,266.57912795668,160.677505849037,291.208275862067,156.998263582958,560.734034560481,7131.28556149733,566.756574004508,6083.91871657754,688.155235109716,120.248877005348,691.818369646882,389.218716577539,634.510142749812,1149.41805599245,468.513899323817,4357.69240641711
300.296426332286,188.937673796791,296.141396409231,184.819799354753,327.341875178111,175.798350689558,710.921111945905,7130.66042780749,628.429694272669,5654.04656519951,798.972037617553,113.926096256685,796.114951164538,387.621152703508,732,1587.09989304813,521.211119459053,4786.78417112299
324.042884012536,206.810245989305,316.12739811912,200.752700534759,368.646319749214,191.2444171123,861.10818933133,7129.14224598931,717.696468820436,5200.15828877005,909.78884012539,108.853582887701,895.032024793388,389.218716577539,834.759579263712,2062.30678300028,579.178061607814,5239.21426024956
347.789341692787,224.516711229947,337.235360501564,216.130989304813,421.667210031345,208.97320855615,969.137490608565,7131.28556149733,828.435912847483,4785.45055258467,1020.60564263323,104.531229946524,1029.73929376409,388.667128027682,921.709992486852,2460.54859180036,641.033939829484,5730.97345359954
368.897304075232,239.326290714633,360.981818181815,233.708855614973,492.529655172411,223.833529411765,1045.98760330578,7131.28556149733,943.315852742299,4456.7135828877,1131.42244514106,101.244812834225,1171.36307287754,388.593582887701,1013.93012772352,2821.90818436466,702.051959349915,6178.30281742274
