Inject Height,,Sep. Mass Soyuz,,Sep. Mass Ariane62,,Sep. Mass Ariane64,,Trans. Eff. Soyuz,,Trans. Eff. Ariane62,,Trans. Eff. Ariane64,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
232.11146373345332,2745.8331566224188,234.14196699738932,4329.324887194178,231.72837068067497,8906.38434045703,234.12600478685692,14364.687632934802,206.0103260190699,107.20995306332986,199.56819801660106,210.24676396167058,199.56819801660117,335.18691265006134
293.61798907281434,2984.7090438718587,304.8102757804528,4177.176380392646,287.334987796722,8635.100313967101,318.0762237663979,13804.949704860643,231.7788380289453,122.90340772029947,212.45245402153876,226.51395782115299,215.67351802277324,367.2488092610746
339.07955724813144,3270.6590053381697,375.40748017114436,3969.5769815252097,326.32758576955996,8397.726790788412,374.44550429326375,13267.189216907185,257.54735003882047,139.27184967434312,228.55777402771082,244.88861201927773,229.84619962820466,397.5557388996956
374.8400461039413,3527.0624734130397,446.717207394645,3759.42811635589,365.23541890026024,8094.2492484966715,431.7126316415262,12711.915456357543,283.31586204869586,155.64029162838676,244.663094033883,264.98823375436905,247.88415803511748,434.07255167139715
415.5808827612185,3825.336544790296,516.6102953831527,3560.933954280885,399.67999779767126,7826.828443902959,497.2096545718899,12115.433995581583,315.52650206104,172.06498252385325,257.5473500388207,282.53790347829204,241.44203003264863,413.4854391106412
452.9624069759856,4164.064839411547,587.2607405011373,3394.854435186935,441.1800939188387,7535.369814177227,562.3681318600187,11613.787478243137,354.1792700758533,187.70218823940013,270.4316060437584,300.7625604992892,254.32628603758621,446.10982513588283
485.52443578846453,4438.0960459165635,657.9504156287065,3259.3685117155546,479.4706848808811,7252.925368876002,642.2169801011459,11085.241489923621,399.27416609313514,203.6487631327725,286.53692604993057,319.61720566422173,263.98947804128966,470.1843720648542
518.0710528114638,4700.108339855571,728.6611068328388,3140.272014470549,524.8368283930039,6962.067684778571,749.5383216159593,10490.019153321244,457.25331811535466,217.7391229591915,305.863310057337,338.1118576040485,278.806372446968,499.3438232984495
550.6238345502549,4966.928198820984,799.3760012522836,3024.4534024708228,572.1725986006185,6700.055390839563,880.7076337714908,9932.141295048968,524.8956621412776,229.52071941720976,325.18969406474366,353.4115696710584,294.26747965289314,531.2032237203406
583.1550397837747,5216.921580193983,870.1273235377711,2937.0431292634803,629.7587499911084,6393.5731204063195,1028.9906484216194,9450.201111625569,595.7590701684348,236.45467983260596,347.7371420733846,371.1299862192499,305.863310057337,543.7579874459163
618.9422424080157,5494.157830049939,940.8884533256545,2857.2812549617793,686.4994546444321,6145.468425293693,1163.814383860848,9090.726363060372,666.6224781955921,240.50460361504975,373.50565408325997,388.8484027674415,318.7475660622747,568.9575132033444
654.6965665480337,5745.753733098403,1011.6565884723924,2782.9825227355377,752.214835722248,5878.763032162242,1297.0368343731475,8806.970763661038,737.4858862227493,242.71365295092824,399.27416609313514,406.5668193156331,331.6318220672124,582.2322633791323
