Inject Height 90 d,,Inject Height 180 d,,Inject Height 360 d,,Sep. Mass 90 d,,Sep. Mass 180 d,,Sep. Mass 360 d,,Trans. Eff. 90 d,,Trans. Eff. 180 d,,Trans. Eff. 360 d,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
207.99276745991244,11543.748186343444,234.07011754509472,891.4616600614027,234.07011754509472,891.4616600614027,240.28989344895479,11032.818812919933,248.45889574371176,19810.040402687562,259.3693419628985,19806.576211350868,210.22096359777981,280.8818436636018,210.22096359777981,280.8818436636018,210.22096359777981,280.8818436636018
265.57098608526553,12856.715551686422,316.19606971746543,879.1795271404189,316.19606971746543,879.1795271404189,330.85574679149477,10336.421876299995,330.59418925661396,19810.040402687562,392.99123022655283,19740.441649468637,236.92587924363272,331.4748734825075,224.76604243666247,328.6570012723496,224.76604243666247,328.6570012723496
306.7653636949268,14005.094979798654,394.6206713932562,909.0660505814812,394.6206713932562,909.0660505814812,412.3215775663093,9456.202350295964,413.36458321347106,19663.32805047732,565.7963773399118,19805.536953949864,266.12325368309837,378.82542021027257,239.72079519834017,363.55229549128944,241.78147488495551,367.54363777252684
338.40545280657375,15354.12806833486,481.72233586588607,1341.821753326476,481.21926860163205,886.9729235027844,493.82788748342716,8629.20540028288,481.2913636644755,18793.547687607825,718.8701222266974,19810.040402687562,309.42972522212267,426.8096665104131,256.18862796372423,409.991193999866,258.5697666380896,409.3658579751459
357.9497860396157,16507.511328377863,548.7865524358907,2349.526296824224,555.1475605120714,895.5557043683948,575.3964730040879,7884.089336409699,523.1771339211863,17765.474675774014,875.6738643876926,19810.040402687562,364.57537603080834,473.2177057523604,268.615712476712,445.4164155449896,268.615712476712,445.4164155449896
381.26597959147125,17711.43329092167,610.6179974779369,3470.0272327507337,704.4782302479031,887.3676157544032,657.0522443697085,7253.606513132392,559.7646737587519,16783.72285095649,1036.2076038228975,19805.536953949864,428.1330752679371,510.9484180856307,286.0629240320027,489.790397107078,286.0981334870796,485.5025781825484
406.53834168204855,18758.644166164428,658.6444239669587,4438.268711355166,829.4556359957106,766.0815531596672,737.4036532191209,6871.632179289714,600.0209385961522,15716.905883315841,1193.0147711420877,19810.040402687562,510.38421545716244,533.0562573434065,308.49505317451917,540.0746190125417,308.49505317451917,540.0746190125417
423.62923220027335,19789.437131356033,712.1274536659458,5334.669460096367,893.6331105227767,880.5442085760806,820.9460639940779,6758.227151985942,651.552919354337,14749.28988370276,1346.085090870678,19810.040402687562,592.6353556463877,536.298740434547,327.1884941266161,573.7346815777137,327.1884941266161,573.7346815777137
443.52850525775716,21034.978459340608,748.4309829208968,6421.927665796131,1018.0888283500707,891.4616600614027,903.0751299466259,6750.039063371951,726.6071740157682,13620.30030432227,1502.8888330316731,19810.040402687562,671.1478076451932,525.5369718074064,350.36836090721636,616.3192928413582,350.36836090721636,616.3192928413582
456.6514280216895,21926.661309404226,795.2739843601893,7365.510390856936,1174.892570511066,891.4616600614027,985.210423459528,6750.039063371951,808.2599007963271,12658.563807227838,1663.38147056854,19751.495569097526,708.5346895493857,464.30087725172416,365.82160542761676,654.9318623183553,365.82160542761676,654.9318623183553
478.98060515372435,23469.092502064777,840.897091515813,8446.33808790375,1305.0223371973625,882.6887079749868,1067.3457169724302,6750.039063371951,890.18797223844,11895.22924618853,1821.1355038420443,19364.699360848826,716.0120659302241,425.39108015803913,379.53012879248786,688.0322105404139,379.53012879248786,688.0322105404139
495.8923237408784,24433.581106721133,886.5373244624112,9549.683028639025,1364.044337005762,880.5442085760806,1149.4810104853327,6750.039063371951,970.7202917161447,11260.242974173525,1921.717177099967,17905.724936462226,723.4894423110624,384.04942074599853,401.96225793500435,732.2921047344805,401.96225793500435,732.6974151208731
510.46637186003625,25596.972030625686,960.3055273649533,11311.282059867408,1488.5000548330563,891.4616600614027,1231.6163039982348,6750.039063371951,1054.5927112935433,10708.070120612807,2008.2073146034854,16619.02529712079,730.9668186919006,344.3290028795284,437.1059269249463,765.7977633429318,428.13307526793994,772.0665639858032
526.2220995564227,26677.799727672493,920.714694650189,10307.763566151028,1645.303796994051,891.4616600614027,1313.7515975111369,6750.039063371951,1138.02195345784,10227.702255258671,2134.2901061360467,15496.737278361863,738.4441950727388,305.41920578584313,479.40651330797675,808.8147056853948,462.5290066197982,820.4876448135003
545.7797528491113,27848.696399473203,1012.0020108597749,12523.460345096988,1798.4354581921316,972.1143329092156,1395.8868910240394,6750.039063371951,1221.462612816119,9762.34588569685,2267.0861533629554,14365.370878814261,745.9215714535768,265.53666376481624,541.3619176063543,828.9644220374817,480.47470993381137,862.3156766892118
559.0408236602365,28922.018348623857,1050.082919670302,13505.212169914506,1917.9837546675626,1776.9449573172897,1478.0221845369415,6750.039063371951,1303.3124764794488,9387.058490888936,2405.346089056943,13545.743208553758,753.398947834415,226.78899082568796,629.0875655029791,835.7678463804996,505.3992978699408,895.2809214491394
573.6434147643514,30122.9380120092,1091.9726043935216,14586.039866961313,1971.065143792508,2145.2627290787714,1560.1574780498436,6750.039063371951,1382.6700618395976,9007.392743141587,2553.11706630204,12825.60081495325,760.8763242152532,189.50043527757293,705.8641979848045,840.776324726636,544.0324091709407,946.2149266724703
589.4676456246353,31293.83468380991,1133.8622891167406,15666.867564008127,2068.7523680892027,2958.13522623272,1642.292771562746,6750.039063371951,1469.5125692883616,8651.495197065407,2691.7460195445765,12134.162220882907,768.3537005960915,150.5906381838879,788.1153381740297,839.3866891161474,582.665520471941,994.1766557289226
605.223373321022,32374.662380856716,1175.7063050640281,16687.649277885663,2180.957614703153,3925.733355017488,1724.4280650756482,6750.039063371951,1552.9646458406237,8337.504743409452,2844.468495429822,11676.81198241032,775.8310769769299,112.49146186298776,870.3664783632547,834.7545704145182,603.8514202176508,1017.1442442911672
624.8495297776079,33635.62802741133,1217.6348082467894,17819.516060626353,2232.9004105662575,4433.264879424394,1806.5633585885503,6750.039063371951,1633.9396670150145,8039.151264537155,2987.050358009695,11273.958022601968,783.3084533577681,75.20290631487296,958.0921262598796,826.0403971070782,652.4543666931025,1071.4558360677693
640.6566348469174,34784.00745552356,1251.9560350787515,18766.741445121545,2324.323115667824,5190.719937945039,1888.6986521014528,6750.039063371951,1716.8627469127364,7847.75469318511,3138.8265906966617,10911.225697002163,790.7858297386064,37.10372999397282,1040.3432664491042,814.6917062880868,704.7960013589737,1122.524944753231
656.5493688710986,36044.97310207818,1290.0888921219007,19816.7955757941,2424.0123449294174,6181.478660237946,1970.833945614355,6750.039063371951,1795.0847971880034,7611.323634456123,3256.2444387748856,10668.039465166628,831.9113998332183,0.8468736112208717,1118.85571844791,801.9244291167213,739.6904244695542,1150.3562579521863
672.4335399997927,37294.680126788546,1332.0556429045046,20998.950869439046,2495.482552113054,6885.142525502801,2053.0076424161084,6800.532276491562,1877.0745214776239,7419.927063104085,3326.1262288456523,10510.418759347303,914.1625400224435,-0.1848255541422077,1205.7802188751593,787.2753537228189,790.7858297386189,1193.3191589097971
685.7031737064052,38379.26069778344,1366.3363386978272,21892.885443871513,2572.5914259749893,7639.47018906672,2135.146049709188,6804.626320798554,1959.068527214988,7234.159802674163,3455.663999196411,10249.218732560992,996.4136802116685,-0.1848255541422077,1292.7047193024082,769.9049085917095,863.0671347533929,1243.5776468224738
700.3400163924688,39625.21484854573,1400.7163640788012,22917.420031697136,2675.1106921950914,8669.634087814455,2220.2505402063493,6781.563204535814,2044.1094965965353,7100.307298526008,3612.231405441961,9938.480769660033,1078.6648204008934,-0.1848255541422077,1372.7749580472218,754.4130449340387,895.4690990703608,1263.5729592178398
716.1642472527527,40796.11152034644,1438.8155403997011,23923.190249782358,2743.7208922860145,9294.487600169647,2299.375119665964,6750.039063371951,2125.9336715734044,6963.952878412463,3768.8433387440436,9686.287640349117,1160.9159605901186,-0.1848255541422077,1457.51855703006,737.4800776803054,966.5041746883284,1307.9254957859391
739.4296342913843,41933.23232661444,1476.9466848637535,24970.992656086077,2820.7527000885652,9947.487667135429,2381.510413178866,6750.039063371951,2212.040436013254,6786.066653273505,3895.618719010642,9474.625549677447,1243.1671007793439,-0.1848255541422077,1537.9893695095611,721.4992681596846,1052.9094128669085,1351.390209602893
773.7411565084609,42867.69793968616,1515.1212146649405,26075.83874640059,2938.2244878903107,10990.463753974102,2463.6457066917683,6750.039063371951,2291.9113885813317,6754.133107678936,,,1325.418240968569,-0.1848255541422077,1626.3826402973318,705.4605571552936,1132.875799161989,1387.1926270675685
834.4162770404351,44104.0993203988,1553.231808179823,27096.62046027813,2880.898477990424,10487.901515658828,2545.781000204671,6750.039063371951,2374.0435683140568,6750.039063371951,,,1407.6693811577939,-0.1848255541422077,1704.8950922961376,692.0853144043392,1194.030055990991,1414.4642259234104
916.707259562195,44308.80153574857,1591.3812201542482,28168.441259849555,3005.1399867766168,11549.290534758962,2627.916293717573,6750.039063371951,2456.1788618269593,6750.039063371951,,,1489.920521347019,-0.1848255541422077,1793.2883630839083,677.4941404942074,1299.2474236356497,1452.0422888903772
