Isp Ariane62,Inject Height Ariane62,Sep. Mass Ariane62,Trans. Eff. Ariane62
260,2854.1452228300714,8768.457564203563,307.70690655847375
280,2931.820196641857,8670.88499440534,331.58006578255515
300,3024.851429010635,8558.000076381306,352.8396733249471
320,3150.6499761982636,8436.246956292185,372.3060257296443
340,3277.258599507452,8291.083209432694,389.9913339039367
360,3420.6590262234936,8135.085037407904,406.34475833875314
380,3564.839813864919,7979.6200010629545,421.01062432185785
400,3711.264922355654,7824.581041797489,432.8267285149838
420,3865.3798570272143,7684.119376901695,444.5381299817001
440,4046.607509851194,7543.657712005902,454.5568324488478
460,4223.2908820628845,7396.547774606615,463.2328010439525
480,4391.604231383427,7249.531750688828,469.2963850487348
500,4554.62968695353,7121.304988799884,475.69149486016397
520,4715.919013761318,6993.07822691094,479.9455753111605
540,4879.849617975987,6878.136709139755,482.45996838284435
560,5038.981456247772,6767.432988553897,484.6116115600351
580,5192.675965614064,6658.39676815774,485.8100686367785
600,5347.416093787391,6551.953721337334,486.49404606920893
620,5501.601054973433,6445.510674516929,486.63767291151004
640,5642.33698501825,6348.7921782845615,486.849406604444
660,5784.740764504234,6261.340076084385,487.3136948574564
680,5931.766391426644,6173.887973884208,487.0252140322668
700,6063.9628126935495,6090.676560779021,486.54600936634995
720,6198.736803096639,6009.506707159627,485.7600747037908
740,6359.617820375611,5928.336853540233,484.6405735321931
760,6501.941710683272,5850.21666352515,482.810292454841
780,6641.641199423857,5776.881361613358,480.81213058123245
800,6770.97424197504,5703.546059701566,478.53517953390786
820,6899.478797007205,5630.210757789774,475.9552343471105
840,7021.171700546171,5562.441970389505,473.6382258685664
860,7141.317472983985,5501.749420357865,471.62832417874495
880,7259.428279740891,5441.056870326225,469.40404249382436
900,7375.824078524749,5380.364320294586,467.0154199075995
920,7490.593082803166,5326.772769056657,465.08394520046767
940,7600.985142499085,5274.748611104011,463.1506293148471
960,7711.3771197235155,5222.724453151363,461.0109431263245
980,7821.206090120909,5173.017124544201,458.885526423322
1000,7931.035060518302,5129.043340060128,457.1141632722201
1020,8034.273358043762,5085.069555576055,455.08363029719305
1040,8132.48300559651,5041.5684907511395,453.00567690196215
1060,8230.692653149259,5000.863586356634,450.9973057496625
1080,8326.16421679779,4960.158681962128,448.9098921466071
1100,8421.001687174248,4919.453777567622,446.74993498455785
1120,8515.864593682098,4879.766554268716,444.58653697293295
1140,8611.145904183804,4841.113732448574,442.43871686939127
1160,8706.427214685511,4802.460910628433,440.22617900200333
1180,8802.327177934085,4763.808088808292,437.93327071514614
1200,8899.067201260472,4727.848412881936,435.8337706589683
1220,8992.974744145844,4696.578202643805,434.10810757924156
1240,9069.737721209249,4665.307992405672,432.3348950830354
1260,9146.500698272654,4634.03778216754,430.4769161580989
1280,9223.263675336057,4603.55237590269,428.52693258536226
1300,9303.659428715944,4573.644347068487,426.595620160589
1320,9384.211515657826,4543.736318234283,424.6438931119902
1340,9464.763602599707,4513.8282894000795,422.66861013826554
1360,9542.425466613384,4485.381799449886,420.78704169950197
1380,9618.968675472086,4458.095301410159,418.9702574961312
1400,9695.511884330788,4430.808803370432,417.12579463079925
1420,9768.27095092608,4403.522305330704,415.2482317295388
1440,9833.067950568027,4378.738686433374,413.5746493620055
1460,9897.864950209974,4356.102520354143,412.076493470103
1480,9962.661949851921,4333.466354274912,410.5280719796956
1500,10026.524039988613,4310.830188195681,408.95936895322006
1520,10090.097667372027,4288.1940221164505,407.3711024447808
1540,10153.67129475544,4265.55785603722,405.73088272305995
1560,10216.802654429173,4242.921689957989,404.0701779463472
1580,10278.234916578282,4220.285523878758,402.39297141191105
1600,10339.66717872739,4198.344163783175,400.76422238742595
1620,10401.099440876498,4179.665077511275,399.4300279532224
1640,10459.153166491038,4160.985991239374,398.08189248031414
1660,10515.382511416823,4142.306904967474,396.7191885290682
1680,10571.611856342608,4123.627818695573,395.33513799057175
1700,10627.698267133597,4102.8902043487005,393.7411835671584
1720,10682.396678998059,4082.1385194763843,392.12822061304706
1740,10737.09509086252,4061.386834604068,390.47402029983374
1760,10791.79350272698,4040.635149731752,388.80925154865065
1780,10844.844988637584,4023.4748286789027,387.4798980531112
1800,10896.480629323001,4007.560253187664,386.2609364588961
1820,10948.11627000842,3991.6456776964246,385.03310825732245
1840,10999.751910693838,3975.731102205186,383.7931433567747
1860,11046.569011508318,3960.9274166005666,382.65157647804335
1880,11093.301706750377,3947.389537636331,381.62239882223605
1900,11140.034401992436,3933.8516586720957,380.5804727054873
1920,11186.767097234493,3919.924899641212,379.4938827783136
1940,11233.499792476552,3904.8261222578262,378.2908971970656
1960,11280.23248771861,3889.727344874441,377.0824602407661
1980,11326.965182960668,3874.6285674910555,375.8672634609694
2000,11373.697878202727,3859.52979010767,374.63031812023877
2020,11420.430573444784,3844.4310127242848,373.3697796729653
2040,11467.163268686843,3829.332235340899,372.1036876556526
2060,11514.191438176467,3814.2334579575136,370.8317784671296
2080,11561.84367125436,3799.5007800214253,369.5903939350839
2100,11609.495904332254,3784.9349304382154,368.3589568797017
2120,11657.148137410146,3770.3690808550054,367.1166516292779
2140,11704.80037048804,3755.803231271795,365.8698907561266
2160,11752.452603565933,3741.609921222612,364.655099412789
2180,11800.104836643824,3727.604799668852,363.4544655518273
2200,11847.691701843514,3713.599678115092,362.24838728690554
2220,11895.037434393063,3699.594556561332,361.03815095589397
2240,11942.38316694261,3686.2805643892207,359.89156620604433
2260,11989.72889949216,3673.713022977606,358.8142175231723
2280,12035.861986005631,3661.1454815659918,357.7339709690548
2300,12081.368461609494,3648.5779401543773,356.6504636241224
2320,12126.874937213355,3636.0459449935947,355.56706832131516
2340,12172.089506288727,3623.5981899760077,354.48601004354543
2360,12214.836280509366,3611.1504349584206,353.4005388185488
2380,12257.583054730005,3598.7026799408336,352.31171664778384
2400,12300.329828950644,3586.2549249232466,351.21862633789846
2420,12342.56790037903,3574.46586056593,350.187215313947
2440,12384.394556470781,3562.7101687180193,349.15595467628555
2460,12426.221212562532,3550.954476870108,348.11121940464415
2480,12468.047868654283,3539.198785022197,347.06411193055527
2500,12509.874524746032,3527.3865814927703,346.0091437214529
2520,12551.701180837783,3515.537730869546,344.9573000817483
2540,12593.527836929532,3503.688880246322,343.90539196164355
2560,12636.177897502494,3491.8400296230975,342.85107975389735
2580,12679.84468100524,3480.468985822616,341.83405754940884
2600,12723.511464507985,3469.751273674274,340.8663563028878
2620,12767.178248010732,3459.0335615259323,339.89687882247904
2640,12808.376299056796,3448.3158493775904,338.92566419820815
2660,12849.282728153557,3437.6493399361757,337.9584544607734
2680,12890.189157250321,3427.596926782759,337.0519008914589
2700,12929.312182337446,3417.544513629343,336.1436997558721
2720,12965.001934503309,3407.4921004759262,335.2338862420092
2740,13000.691686669174,3397.43968732251,334.3234539650669
2760,13036.381438835037,3388.336977230154,333.51212856396046
2780,13066.487061293581,3379.3489245025735,332.7104683231219
2800,13095.11338491941,3370.360871774993,331.8979067093913
2820,13123.739708545241,3361.3728190474126,331.0819109017387
2840,13153.17996957971,3351.9565942482022,330.2224210281597
2860,13185.185254530024,3342.1848370972357,329.3266167046747
2880,13217.19053948034,3332.4130799462696,328.4296494213028
2900,13249.195824430653,3322.6413227953035,327.53215413188286
2920,13279.29242439389,3312.9830899926915,326.6453138930481
2940,13308.533213739667,3304.073649039076,325.8310760006957
2960,13337.774003085444,3295.16420808546,325.01565150516166
2980,13367.014792431219,3286.2547671318443,324.20091452262943
3000,13396.255581776995,3277.5151915431397,323.4034557269085
3020,13425.496371122772,3270.6130304394965,322.78166852566756
3040,13454.737160468549,3263.7108693358527,322.1469832991378
3060,13482.162602289034,3256.8087082322095,321.5115079857901
3080,13508.330577895456,3249.906547128566,320.87525764567806
3100,13534.498553501879,3243.5855519378447,320.2956355806102
3120,13560.628122610826,3237.5519441464216,319.7501215225441
3140,13585.874017538521,3231.5183363549986,319.2039174621942
3160,13611.119912466216,3225.4847285635756,318.6569151463708
3180,13636.365807393911,3219.4363170632755,318.10766654291893
3200,13662.368911511096,3213.374192959019,317.5562510838362
3220,13689.151546904804,3207.312068854763,317.00403605333565
3240,13715.934182298512,3201.249944750506,316.4510799711176
3260,13742.716817692219,3195.1878206462497,315.89398388558374
3280,13767.46955241966,3190.2134229708154,315.4435299562866
3300,13792.10066622129,3185.266209065144,314.9968757929552
3320,13816.73178002292,3180.318995159472,314.55138187263253
3340,13840.634821231819,3175.3717812538,314.1052407091275
3360,13863.421300358817,3169.689412498,313.5853744286651
3380,13886.207779485814,3163.8514697517603,313.0465348987337
3400,13908.994258612813,3158.0135270055207,312.50710713942203
3420,13932.040962388965,3152.175584259281,311.96678571784463
3440,13955.134910975976,3146.6141666970125,311.45064083487347
3460,13978.228859562985,3141.3165737610725,310.9601029504466
3480,14000.864767534793,3136.0189808251325,310.4690701963985
3500,14022.421247407494,3130.721387889192,309.97810130536504
3520,14043.977727280195,3125.3785728616836,309.48503088522193
3540,14065.534207152896,3119.6088978479033,308.9492077318048
3560,14087.551859325953,3113.8392228341227,308.41317153035897
3580,14109.723363110093,3108.069547820342,307.87661788114343
Isp Ariane64,Inject Height Ariane64,Sep. Mass Ariane64,Trans. Eff. Ariane64
260,2854.1452228300714,14192.172818230925,498.03851626871057
280,2931.820196641857,14058.822855627355,537.6181797246762
300,3024.851429010635,13925.472893023787,574.1363943230465
320,3150.6499761982636,13786.59696314697,608.4261343081359
340,3277.258599507452,13595.797831801961,639.5115328091726
360,3420.6590262234936,13404.998700456952,669.5751713007396
380,3564.839813864919,13213.331692322798,697.1451052074632
400,3711.264922355654,13019.407608380952,720.1852178713062
420,3865.3798570272143,12825.483524439105,741.9739572505347
440,4046.607509851194,12636.442383486634,761.4318467973934
460,4223.2908820628845,12454.302361211076,779.9910909301137
480,4391.604231383427,12272.162338935517,794.4349539329123
500,4554.62968695353,12093.95149438695,807.8561266761253
520,4715.919013761318,11939.974133890884,819.4585515772203
540,4879.849617975987,11785.99677339482,826.7168669526998
560,5038.981456247772,11632.019412898753,832.9615798067955
580,5192.675965614064,11497.076299844877,838.8498944762192
600,5347.416093787391,11364.689671869126,843.8481246873117
620,5501.601054973433,11232.303043893375,848.041697662196
640,5642.33698501825,11099.916415917623,851.1835903106496
660,5784.740764504234,10986.613849729787,855.0769202799918
680,5931.766391426644,10875.690462414466,857.9254268317616
700,6063.9628126935495,10764.767075099144,859.929830435432
720,6198.736803096639,10653.843687783823,861.1708344538026
740,6359.617820375611,10542.9203004685,861.8820197560117
760,6501.941710683272,10445.524456849087,862.0546909482546
780,6641.641199423857,10360.462204237625,862.3053849308437
800,6770.97424197504,10275.399951626163,862.119865284549
820,6899.478797007205,10190.3376990147,861.4499130250563
840,7021.171700546171,10105.27544640324,860.4574681095439
860,7141.317472983985,10020.213193791778,858.9661206697363
880,7259.428279740891,9935.150941180316,857.1128965789974
900,7375.824078524749,9869.438452509807,856.6668851336658
920,7490.593082803166,9804.435702928471,856.0315663680592
940,7600.985142499085,9739.432953347134,855.1733616302834
960,7711.3771197235155,9674.430203765798,853.9639095370463
980,7821.206090120909,9609.42745418446,852.4284899460283
1000,7931.035060518302,9544.424704603123,850.624848240845
1020,8034.273358043762,9479.421955021788,848.3521629865951
1040,8132.48300559651,9420.847349266061,846.5019047690229
1060,8230.692653149259,9367.5222062719,844.7995438437214
1080,8326.16421679779,9314.197063277737,842.9639991788026
1100,8421.001687174248,9260.871920283575,841.006769319144
1120,8515.864593682098,9207.546777289414,838.8826166592821
1140,8611.145904183804,9154.22163429525,836.6219629727809
1160,8706.427214685511,9100.89649130109,834.2499735898833
1180,8802.327177934085,9056.251999381042,832.534389415687
1200,8899.067201260472,9013.653233436087,830.9180272017645
1220,8992.974744145844,8971.054467491134,829.201028885377
1240,9069.737721209249,8928.45570154618,827.4015274586493
1260,9146.500698272654,8885.856935601225,825.4477997092373
1280,9223.263675336057,8843.258169656272,823.1847903674966
1300,9303.659428715944,8801.73081491351,820.9601644870464
1320,9384.211515657826,8766.36357995341,819.277902216208
1340,9464.763602599707,8730.996344993311,817.5583681210586
1360,9542.425466613384,8695.629110033213,815.7628965667338
1380,9618.968675472086,8660.261875073113,813.8884215049413
1400,9695.511884330788,8624.894640113014,811.9659840946841
1420,9768.27095092608,8589.527405152914,809.9847846948277
1440,9833.067950568027,8559.864599579925,808.48464680615
1460,9897.864950209974,8530.396496718366,806.954349639957
1480,9962.661949851921,8500.928393856806,805.3298348849002
1500,10026.524039988613,8471.460290995246,803.6695725580771
1520,10090.097667372027,8441.992188133687,801.9748282781541
1540,10153.67129475544,8413.971946044972,800.3192970514247
1560,10216.802654429173,8387.050692290033,798.7319383479414
1580,10278.234916578282,8360.129438535096,797.1160498800822
1600,10339.66717872739,8333.208184780156,795.4687771848972
