Isp Ariane62,Inject Height Ariane62,Sep. Mass Ariane62,Trans. Eff. Ariane62
260,2854.1452228300714,8878.635600190279,311.573326892486
280,2931.820196641857,8807.110073815153,336.78939802731264
300,3024.851429010635,8722.146287914848,359.6072936963076
320,3150.6499761982636,8608.46746910763,379.9064118975263
340,3277.258599507452,8495.453337282152,399.604381651359
360,3420.6590262234936,8369.1304224228,418.0352465115088
380,3564.839813864919,8243.905420927376,434.9545175901416
400,3711.264922355654,8118.548584673949,449.0879199056959
420,3865.3798570272143,7988.570135605601,462.1510748498619
440,4046.607509851194,7838.27578324638,472.30958083138955
460,4223.2908820628845,7694.378132744989,481.8853934749803
480,4391.604231383427,7559.686127403799,489.3741407997251
500,4554.62968695353,7431.425905691525,496.4070635341088
520,4715.919013761318,7306.641552273073,501.4659023694618
540,4879.849617975987,7181.94340053705,503.7701826057262
560,5038.981456247772,7062.929242597342,505.7719120941003
580,5192.675965614064,6949.8652593306915,507.07619810196024
600,5347.416093787391,6837.884020212385,507.72487185182894
620,5501.601054973433,6728.135137190132,507.97589074534545
640,5642.33698501825,6629.539512152187,508.3781744489389
660,5784.740764504234,6531.296413891913,508.3241205536507
680,5931.766391426644,6431.455316063328,507.3433329361296
700,6063.9628126935495,6343.051578217862,506.7066690850669
720,6198.736803096639,6254.2449666942375,505.5427425711503
740,6359.617820375611,6149.965452903518,502.75867548222254
760,6501.941710683272,6059.2684786116415,500.0630497090152
780,6641.641199423857,5971.648944438696,497.022713870804
800,6770.97424197504,5891.760633463409,494.32663521836224
820,6899.478797007205,5813.544214285814,491.453502885195
840,7021.171700546171,5740.5306593371815,488.80235901898016
860,7141.317472983985,5669.4452874719755,486.00377364688603
880,7259.428279740891,5600.524250368747,483.16141254560455
900,7375.824078524749,5533.527709755221,480.3099963312855
920,7490.593082803166,5468.3579727372735,477.4458400971885
940,7600.985142499085,5406.501048603473,474.7191852481447
960,7711.3771197235155,5345.448974181412,471.84386140342235
980,7821.206090120909,5285.500525998905,468.86365014642405
1000,7931.035060518302,5226.335935524716,465.7851415462809
1020,8034.273358043762,5171.430750749136,462.8124461544066
1040,8132.48300559651,5119.832730039929,460.03804088973226
1060,8230.692653149259,5068.847065832694,457.1283200334431
1080,8326.16421679779,5019.865547003264,454.31355038913443
1100,8421.001687174248,4971.773898939355,451.50127769008134
1120,8515.864593682098,4924.228140415991,448.63735014067527
1140,8611.145904183804,4877.031108982677,445.72127515356226
1160,8706.427214685511,4830.389591456211,442.7863115411706
1180,8802.327177934085,4784.001966981109,439.78967864589833
1200,8899.067201260472,4737.769597567515,436.7483489096454
1220,8992.974744145844,4693.426291071435,433.8167741213705
1240,9069.737721209249,4657.567676030489,431.6175986315639
1260,9146.500698272654,4622.056647937529,429.36393392578765
1280,9223.263675336057,4586.891034479902,426.97599258302006
1300,9303.659428715944,4550.429178481242,424.4302814308829
1320,9384.211515657826,4514.271513674691,421.89020133904177
1340,9464.763602599707,4478.486797789259,419.3592819623494
1360,9542.425466613384,4444.336812297382,416.9364890614601
1380,9618.968675472086,4411.013467463105,414.5455229943929
1400,9695.511884330788,4378.020268382686,412.15616931376695
1420,9768.27095092608,4346.962289565424,409.91467261376107
1440,9833.067950568027,4319.550993831378,407.98433421251775
1460,9897.864950209974,4292.371974156756,406.0477418782284
1480,9962.661949851921,4265.423923974832,404.08211730040085
1500,10026.524039988613,4239.089410427593,402.1534726586758
1520,10090.097667372027,4213.09418267312,400.23674606312716
1540,10153.67129475544,4187.317554101975,398.28882992713403
1560,10216.802654429173,4161.935352933812,396.3575294451899
1580,10278.234916578282,4137.440906286925,394.49395802771176
1600,10339.66717872739,4113.147170737751,392.63151450651014
1620,10401.099440876498,4089.053032872929,390.7706806486906
1640,10459.153166491038,4066.466408686066,389.0391957785012
1660,10515.382511416823,4044.7576841705104,387.37665341420126
1680,10571.611856342608,4023.213511671845,385.70834680842995
1700,10627.698267133597,4001.8871794194242,384.0482479537791
1720,10682.396678998059,3981.2446824571134,382.43640819844427
1740,10737.09509086252,3960.755499342708,380.799019210834
1760,10791.79350272698,3940.418844133197,379.1659590144728
1780,10844.844988637584,3920.839474573632,377.59562183945496
1800,10896.480629323001,3901.919037812223,376.0789124339006
1820,10948.11627000842,3883.132485079089,374.56595380174707
1840,10999.751910693838,3864.4791552004663,373.05355022337096
1860,11046.569011508318,3847.68111966416,371.7112411738919
1880,11093.301706750377,3831.021558499532,370.37227341128596
1900,11140.034401992436,3814.469598819597,369.0308555075283
1920,11186.767097234493,3798.024750473923,367.6925442059894
1940,11233.499792476552,3781.686523312079,366.36140586833545
1960,11280.23248771861,3765.454427183627,365.03505090090584
1980,11326.965182960668,3749.3279719381367,363.7121907513802
2000,11373.697878202727,3733.306667425176,362.3783052647159
2020,11420.430573444784,3717.390023494314,361.0316037501213
2040,11467.163268686843,3701.5775499951133,359.6895155204363
2060,11514.191438176467,3685.769764448678,358.3421339664892
2080,11561.84367125436,3669.858792587701,356.97967584861806
2100,11609.495904332254,3654.054588780049,355.62136772287056
2120,11657.148137410146,3638.3566333688527,354.26274617461297
2140,11704.80037048804,3622.764406697233,352.90997320556414
2160,11752.452603565933,3607.2773891083243,351.5631299440688
2180,11800.104836643824,3591.895060945251,350.2222928273082
2200,11847.691701843514,3576.637789548968,348.88824414998294
2220,11895.037434393063,3561.560413128025,347.5675959661433
2240,11942.38316694261,3546.584848756122,346.2530736894553
2260,11989.72889949216,3531.7105867393693,344.94473650314717
