Isp 90,Inject Height 90 d,Sep. Mass 90 d,Trans. Eff. 90 d
260,2213.8988783312325,4422.594211370288,155.1997912722716
280,2291.3345994231404,4378.0066471983455,167.4177126107815
300,2375.8602826244023,4330.044665335272,178.52436685713988
320,2479.724508773039,4272.109314180336,188.53550026280072
340,2619.0174381797515,4196.11681457954,197.37459538131742
360,2794.830832214193,4102.935682277632,204.9402557721482
380,2986.564918853748,4004.715071412829,211.29171467088344
400,3161.4729168509602,3918.1286071305435,216.73630547964805
420,3366.584967584602,3820.15537857259,221.00186695888164
440,3578.3463465772893,3722.9300378379467,224.33192889107087
460,3817.746643771212,3617.6635768970273,226.56791830832495
480,4029.366531092077,3528.5865428871934,228.42205067261466
500,4263.752889250865,3434.130194814525,229.39426530460221
520,4471.521943858808,3353.9719279418546,230.1881852742552
540,4621.925714842637,3297.9755535116597,231.3331718400276
560,4784.384693062897,3239.3539235491753,231.9680930656601
580,4938.8261512139925,3185.3745267508825,232.41135536938788
600,5097.798426438068,3131.5464958351718,232.52281533236246
620,5266.98191124209,3076.1431726663805,232.24958124845395
640,5437.941847536758,3022.075070774444,231.74415126597577
660,5618.401883296561,2967.0319166933214,230.92105979140828
680,5789.465320897245,2916.721947843149,230.08469491668197
700,5960.694073200195,2868.1281456346424,229.11679674406446
720,6132.869521932438,2820.992207304919,228.02626773453238
740,6312.933416413982,2773.4909858471838,226.7324369843561
760,6455.093068719245,2737.2460571845,225.90113245374636
780,6580.786859039999,2706.0977133161455,225.22958767101304
800,6707.7741332545465,2675.4640105201393,224.47502609942188
820,6832.692068447206,2646.1290017062665,223.69303802300357
840,6961.545018548388,2616.6804731429497,222.80859801537173
860,7084.996070022371,2589.21974223019,221.95655866113873
880,7208.106426418202,2562.5507852812448,221.07317132941878
900,7334.3972390515755,2535.9174220035607,220.1175365059938
920,7463.223087518403,2509.486286504558,219.1048563839343
940,7595.437450819303,2483.1133263326637,218.03039055359807
960,7722.949043850576,2458.3820152613616,217.00187738922025
980,7845.830702359113,2435.1848976462015,216.0192160185362
1000,7966.320357404287,2413.0297358598536,215.0557122501586
1020,8070.302729359935,2394.368102476905,214.28177460191168
1040,8176.34893530159,2375.762829921643,213.47206745312462
1060,8271.882467798758,2359.3626411668506,212.77648871599797
1080,8368.723045118724,2343.0792495311944,212.0560088174277
1100,8467.259952432938,2326.8554811909776,211.30852772327776
1120,8563.66335736894,2311.3121484062517,210.57938991456493
1140,8659.564815638189,2296.1655405957113,209.85099537974347
1160,8756.42115242384,2281.180621140602,209.1085064816765
1180,8851.310837579862,2266.7976272477185,208.3849895805228
1200,8947.647033757412,2252.4898491719223,207.64437828860758
1220,9044.034434046696,2238.464532910919,206.90288979287072
1240,9141.679832275759,2224.5450249674177,206.14897055935853
1260,9233.639832723322,2211.6955536787646,205.45449264396868
1280,9304.328384078664,2201.985768496742,204.97436108468344
1300,9375.822354057922,2192.3104760203546,204.4824599669413
1320,9450.649138983268,2182.3375763277486,203.9546882985777
1340,9528.133250496923,2172.172705093675,203.39923439228644
1360,9604.140182604293,2162.3587825486024,202.85732539271407
1380,9677.95173589324,2152.9743307187173,202.33578439618736
1400,9752.545244692135,2143.633720512821,201.80625225491858
1420,9826.50679723435,2134.511609966944,201.28254387901404
1440,9899.660022722268,2125.6229719392663,200.76643943593376
1460,9972.585245905728,2116.891804150847,200.2527138959904
1480,10039.55561546428,2108.9854860257337,199.7933466258961
1500,10107.136541454554,2101.113589564689,199.32821525662132
1520,10175.32777300358,2093.276980763724,198.85773520926836
1540,10235.777588263969,2086.4177106808947,198.45565997550943
1560,10295.869264913123,2079.679284237759,198.05606604575436
1580,10356.439866658464,2072.966665157843,197.65184400700474
1600,10416.968652050386,2066.337019550282,197.24775209572084
1620,10477.413792045329,2059.7932932292956,196.84431107152943
1640,10538.322658899797,2053.275556961001,196.43705151123262
1660,10599.382692251893,2046.8170149293444,196.02883220856742
1680,10658.455795291273,2040.6391477027498,195.63752950459633
1700,10717.957584294028,2034.4852685538085,195.24301107089613
1720,10776.262401858101,2028.5209671885552,194.8587274892221
1740,10825.780433960099,2023.5057599767292,194.545967024343
1760,10875.603746627752,2018.505447991065,194.23025425405748
1780,10925.662943995008,2013.5270160715559,193.9122962453747
1800,10975.918548614802,2008.574249810697,193.59254051439314
1820,11026.476429612638,2003.6366528702101,193.27027260549022
1840,11076.121288598566,1998.831391813911,192.95514791706006
1860,11125.819703409023,1994.0630931405758,192.6395780414957
1880,11175.036356470297,1989.3818985250705,192.32778651566036
1900,11222.582880785583,1984.8975669850429,192.02891208412655
1920,11270.389638267821,1980.4257473355756,191.7280242994734
1940,11319.959891104416,1975.8275715583104,191.41379445579855
1960,11370.36488633505,1971.1915889455045,191.09354154216928
1980,11421.050109381693,1966.5694300478392,190.77159454195504
2000,11466.015498109624,1962.501563215452,190.49278666621208
2020,11504.136970478401,1959.0765365493594,190.26482004565216
2040,11542.361490787483,1955.6637728458973,190.03566600319857
2060,11580.514389285167,1952.2786040438236,189.80666883158582
2080,11618.83135836196,1948.899905633275,189.57613791014626
2100,11656.722307257398,1945.5792129366573,189.34844127457765
2120,11692.098759240544,1942.496987895437,189.13877519768334
2140,11727.615361142914,1939.4199055933236,188.92772205997846
2160,11763.271873334306,1936.3479659054333,188.71533240276207
2180,11799.06808403119,1933.2811628705936,188.50165443369121
2200,11834.364979175723,1930.2737642214456,188.29131266683947
2220,11869.6891096055,1927.2803555291569,188.0805383659693
2240,11905.147397388133,1924.2917709975832,187.86860283828375
2260,11940.739710295824,1921.3079880598261,187.6555457774823
2280,11976.771397830766,1918.3035773000333,187.43924809514968
2300,12013.03092070395,1915.296403691039,187.22125758539246
2320,12049.426878083468,1912.294065006197,187.0022559529846
2340,12084.609027008813,1909.407020940634,186.79170286451082
2360,12119.251574619055,1906.5786237685431,186.58483634938582
2380,12153.847707498448,1903.7680497844508,186.37821719959112
2400,12187.858698907341,1901.0184974011065,186.17558407798967
2420,12221.987217410944,1898.272700496584,185.97207438096433
2440,12256.02341353246,1895.5473772057114,185.7691540371755
2460,12284.126218800055,1893.306841085589,185.60681570279903
2480,12312.31095047724,1891.0684715397474,185.44366664352214
2500,12340.577496471655,1888.8322529929328,185.27972916849032
2520,12374.161434302197,1886.1864857256005,185.07945224233143
2540,12409.241000084785,1883.435614948452,184.8690581647276
2560,12444.439937885476,1880.6882626571164,184.65794425355494
2580,12475.334716548565,1878.2873410338761,184.4758811656376
2600,12498.489570981674,1876.4942551064837,184.34570921970212
2620,12521.699959787515,1874.7022644177314,184.2148788275767
2640,12544.965773043656,1872.9113627148486,184.08340631183088
2660,12568.714248220807,1871.0887952982932,183.9484528196881
2680,12593.773583495939,1869.171575795251,183.804527245103
2700,12618.895310645024,1867.2556497083972,183.65999915432562
2720,12644.079363742876,1865.3410009484687,183.51488263969122
2740,12669.96770105735,1863.3790322891755,183.36493696874393
2760,12700.792979591453,1861.0510449629974,183.1822217042824
2780,12731.707481650137,1858.7250828984334,182.99894643347605
2800,12756.247984212521,1856.8848602475675,182.85762906805797
2820,12779.404559222938,1855.1533626824978,182.7252594095675
2840,12802.61321013392,1853.4227410897486,182.59238374432988
2860,12825.888908088713,1851.6918657308997,182.45891446577178
2880,12849.309328118597,1849.9549747153017,182.3243545187195
2900,12873.324992667403,1848.1788307519803,182.18577777389348
2920,12897.928515576634,1846.3642896638692,182.0432602810236
2940,12922.588820554418,1844.5506616972561,181.9002814944529
2960,12947.305892999888,1842.737924826074,181.75685015060202
2980,12973.502148693311,1840.8221769038346,181.60376340712884
3000,13001.07571922021,1838.8117130796002,181.44174097971737
3020,13025.188785796177,1837.058552820505,181.3020431766179
3040,13039.921609167617,1835.9896577223292,181.2227103695688
3060,13054.676485844448,1834.9208713458463,181.14302350328273
3080,13069.453358231094,1833.852193454832,181.06298951236658
3100,13084.252170955355,1832.7836235752618,180.9826151322126
3120,13104.392230951722,1831.3320841394384,180.8677255388729
3140,13124.671029444311,1829.8736660808904,180.751826812398
3160,13144.987885369963,1828.4156203454863,180.63557270171918
3180,13165.342776264351,1826.957935215415,180.51896928763588
3200,13185.699644427259,1825.5031713005599,180.4022527753128
3220,13206.056190796658,1824.051462692559,180.28544252290396
3240,13226.450464843201,1822.600073771405,180.16830039972112
3260,13243.875849706139,1821.3623343477757,180.0699790411367
3280,13261.108430854358,1820.140412840129,179.972760664933
3300,13279.9200856582,1818.808911634097,179.86538242820023
3320,13300.385969512106,1817.3631281044243,179.7474040118897
3340,13320.889291601208,1815.9176016384658,179.62911893906573
3360,13341.09980064446,1814.4955323267059,179.51262311703516
3380,13358.611869538938,1813.265569228051,179.41313260908507
3400,13376.15169364994,1812.0357183562403,179.31336757564918
3420,13393.420556405952,1810.8268642984524,179.21521858353583
3440,13408.204461014422,1809.7935235252276,179.1326558706779
3460,13423.00852129664,1808.7602055468433,179.04984948909427
3480,13437.832713382151,1807.726906838127,178.96680325173716
3500,13453.216073416115,1806.6561274497888,178.88012592400332
3520,13471.448772089218,1805.388971618886,178.77541827827642
3540,13489.751707992305,1804.1190486028527,178.67020160899793
3560,13508.394200542178,1802.8277224367173,178.56278883066187
3580,13527.066991289365,1801.5364577929806,178.45512884479993
Isp 180,Inject Height 180 d,Sep. Mass 180 d,Trans. Eff. 180 d
260,400,5660.826866482227,120.46293688608958
280,400,5660.826866482227,133.82442956190312
300,400,5660.826866482227,146.9990137812133
320,400,5660.826866482227,160.2776217024417
340,400,5660.826866482227,174.07580551837808
360,400,5660.826866482227,188.44102720230646
380,400,5660.826866482227,202.8462950665456
400,400,5660.826866482227,216.42787226021608
420,400,5660.826866482227,230.38416458119895
440,400,5660.826866482227,244.09308107816884
460,400,5660.826866482227,258.07899605799895
480,506.1655767548009,5577.307739456203,266.9165574096006
500,661.8642211443994,5457.467386067964,273.68272025328406
520,801.0024823454078,5352.992644650912,279.65917451460643
540,897.0726266453039,5282.276285689847,285.3313864291081
560,1006.4359752795935,5203.166704856547,290.20457974360215
580,1112.3137577670896,5127.972105762428,294.5160114997361
600,1225.1246542129256,5049.341765397797,298.15324066798297
620,1349.843100008069,4964.173125097692,301.04182452279827
640,1479.3057435734918,4877.691119530308,303.3176191641483
660,1620.3843639991537,4785.646513351401,304.86932652491083
680,1756.3017726811959,4699.098743888889,306.06115479330043
700,1895.4206802227327,4612.63780921926,306.76508119663623
720,2038.4252277640426,4525.962397734384,306.9969480287778
740,2191.821041985917,4435.421221296083,306.6337967686231
760,2312.3774001739293,4365.997659073015,306.72981116664437
780,2419.406343107785,4305.621291363092,306.89371380338093
800,2529.573557086964,4244.690861172179,306.752274162015
820,2639.5946373838724,4185.054338431889,306.40495380984635
840,2755.2980170438786,4123.625450527328,305.7221770808471
860,2867.469769612082,4065.3122134177775,304.95476993097486
880,2981.0156558810195,4007.508837237335,303.99459614544276
900,3099.473976595593,3948.4962423558613,302.7643202353282
920,3222.2544315262257,3888.6991479376443,301.2927029037626
940,3350.297502606001,3827.7969749413846,299.5689920929466
960,3475.232186345489,3769.782142377597,297.8251442391898
980,3596.977954850341,3714.562538535747,296.07538525592753
1000,3717.7666673331587,3661.036142968417,294.2724888766148
1020,3822.3583285129553,3615.683121640082,292.8189238360575
1040,3930.397017674937,3569.7897148483094,291.2140549559135
1060,4028.209503286451,3529.0636593961162,289.8159984615237
1080,4128.505051938791,3488.103679209718,288.3044132766482
1100,4231.734427648962,3446.778397866741,286.67492141757737
1120,4333.660111068757,3406.790920399324,285.04103981309635
1140,4436.051723535378,3367.423927420977,283.36325138656
1160,4540.535524625715,3328.0691090936057,281.6065509862998
1180,4643.798818282894,3289.9712034808354,279.85790952743326
1200,4749.701839393843,3251.708855393851,278.02720946234956
1220,4856.661217932029,3213.882751436346,276.15830489744604
1240,4966.0771253384955,3176.023600446814,274.2226090124737
1260,5069.834864047514,3140.8893931371,272.41525512128067
1280,5149.411946840717,3114.4410564620553,271.1634496363758
1300,5230.539142215372,3087.9159198805846,269.8630771128167
1320,5316.23806774968,3060.3701539097888,268.44834711317003
1340,5405.761027261004,3032.107968943024,266.94120845993655
1360,5494.173632576276,3004.702851663582,265.4563047815294
1380,5580.570457221687,2978.401520128632,264.0145588986958
1400,5668.532510538982,2952.1027298299555,262.53811779082776
1420,5756.3386697084425,2926.3252855834294,261.066739193902
1440,5843.755291672989,2901.126131123984,259.6066828170915
1460,5931.482039441666,2876.295754475538,258.1442513290079
1480,6012.37759988033,2853.799491638156,256.829062367633
1500,6094.544140099966,2831.337368409946,255.49093238984483
1520,6177.99006913399,2808.919347109551,254.1316123902457
1540,6252.167159444178,2789.3198039374406,252.9642461954308
1560,6326.310642226417,2770.033626557324,251.8002981696785
1580,6401.479286329664,2750.78727514588,250.6197315452303
1600,6477.012037676806,2731.7542123016024,249.43674018955596
1620,6552.852249840478,2712.948444745258,248.25330044242247
1640,6629.703910373204,2694.1989372612643,247.05689880413314
1660,6707.167510308573,2675.6083852763045,245.85625541238835
1680,6782.456146680366,2657.8320310053587,244.70373108612117
1700,6858.697579442072,2640.1199589874677,243.54128272341106
1720,6933.75963253979,2622.9620596022314,242.40836618771164
1740,6997.60013709138,2608.5849172872854,241.48329976669106
1760,7062.131862529452,2594.250931096493,240.5499634914957
1780,7127.26555780373,2579.9833432363116,239.610637355094
1800,7192.950664874044,2565.795925778058,238.6668459671143
1820,7259.33065258209,2551.6607362292175,237.71674529506944
1840,7324.774948820916,2537.921251191725,236.78849845756886
1860,7390.57326291294,2524.3014575650504,235.86030756070798
1880,7456.000464309975,2510.94879058209,234.94455274717035
1900,7519.4337522240585,2498.181813408445,234.0676888694844
1920,7583.48062381337,2485.4675218516873,233.1867690124402
1940,7650.200939175515,2472.408233613164,232.2694707924131
1960,7718.344246768347,2459.2633228140076,231.33715108187053
1980,7787.157968184747,2446.184072476861,230.4024668962358
2000,7848.346187703019,2434.7164392377003,229.5933861917168
2020,7900.272129146186,2425.1029518981063,228.93111448060748
2040,7952.5146156325445,2415.5391169479144,228.26714604342095
2060,8004.83053747815,2406.069420117393,227.6053722207318
2080,8057.547979635809,2396.634696346576,226.94107286616511
2100,8109.840725075972,2387.3815105341214,226.28665376672865
2120,8158.766873389663,2378.818135664401,225.6848635518553
2140,8208.040010398416,2370.2849363178666,225.0808975652905
2160,8257.660751960908,2361.7827193973803,224.47496679599422
2180,8307.629788031018,2353.312260315422,223.86727504936837
2200,8357.040445951045,2345.0256650357233,223.27077255068542
2220,8406.636647257716,2336.7961556085843,222.67495514636659
2240,8456.57087880325,2328.598817722831,222.07785097116513
2260,8506.843981543767,2320.434287460198,221.4796333028005
2280,8557.895204119295,2312.2331371482337,220.87452839289892
2300,8609.424685155667,2304.0457840310432,220.2669033704511
2320,8661.302769602406,2295.8939111295404,219.65870436567104
2340,8711.577908681717,2288.079862016871,219.07580503553183
2360,8761.213955591458,2280.4471405279073,218.50506614819042
2380,8810.921544066685,2272.8840965717186,217.9370957461039
2400,8859.91502395062,2265.507774751976,217.3820182313767
2420,8909.214064133825,2258.1627508844285,216.82665465571307
2440,8958.512441550654,2250.894442615927,216.2749877497417
2460,8999.239085182991,2244.9470460946104,215.83405686127014
2480,9040.180930138918,2239.0197735226216,215.3924246004579
