Isp 90,Inject Height 90 d,Sep. Mass 90 d,Trans. Eff. 90 d
260,2872.2872990349297,4062.8348471454688,157.08230029068827
280,2966.3954754435713,4014.8832063173686,168.14933644805973
300,3083.0354585955456,3956.6074382410757,178.03684716272298
320,3259.487780401896,3870.8372397571675,186.6101333848957
340,3422.165015913174,3794.256129211233,194.03631071813925
360,3558.9706493621043,3731.6634476134277,200.56823787979434
380,3734.017369993119,3653.929286212406,205.93609788774904
400,3948.092646435375,3562.364203309677,210.09227416642906
420,4080.2803851401973,3507.6979639046526,214.17582136585415
440,4231.61376591062,3446.8262137357096,217.44865520626053
460,4406.708645761812,3378.6240524423315,219.8814212776139
480,4605.817606363171,3303.8926647747953,221.49191237634653
500,4759.774114545809,3248.1119660110235,223.15798828913125
520,4920.772571876273,3191.597922587743,224.33891642960418
540,5098.232672145787,3131.401829076384,224.951419317823
560,5292.299178814408,3068.0160717716035,225.02536635294484
580,5454.008836339608,3017.0907669324883,225.2506535992744
600,5595.225890618644,2973.9864970083236,225.51875193687567
620,5746.723381941809,2929.125164707249,225.4456407064766
640,5908.484876678811,2882.7609344029156,225.05430280776358
660,6080.541318347123,2835.1379999956694,224.36788282445974
680,6220.136645568335,2797.7454870740376,223.99119050815028
700,6363.85906436491,2760.3813357642634,223.44200445555762
720,6515.001516464699,2722.2962255862685,222.69198656398132
740,6673.572002910423,2683.6332872826947,221.7575925377448
760,6839.602367921645,2644.528987628735,220.65492268566987
780,6958.072845720191,2617.463400341189,220.11557781189524
800,7077.819480112071,2590.796264935621,219.49994529206265
820,7202.091637622921,2563.8374005843457,218.77431120076562
840,7330.865707471283,2536.6523760280734,217.94775729987973
860,7464.128867216403,2509.303036608796,217.02898639070384
880,7583.402936301045,2485.482837737586,216.25418471269597
900,7701.258894021239,2462.5409456813095,215.46843914662134
920,7822.630750403305,2439.5174481448335,214.6161186042717
940,7947.509488495509,2416.450717293107,213.7031632240656
960,8075.892390959809,2393.376752802065,212.7352232170901
980,8175.9200565944,2375.837220041253,212.08334035688222
1000,8268.156511392272,2359.9959617889185,211.50397954084957
1020,8362.504202973161,2344.1147493826743,210.88497793734354
1040,8458.94565206398,2328.2111573441234,210.22946308862257
1060,8557.466567968986,2312.3016220916847,209.5403939905484
1080,8655.787166804594,2296.756308254475,208.84517089585347
1100,8753.141428905028,2281.6829761980825,208.15352404032024
1120,8852.405166688728,2266.63344523205,207.43613291668308
1140,8953.571919545022,2251.6194206259997,206.69524146245908
1160,9056.637399620453,2236.651766826234,205.93296609622413
1180,9157.462872010621,2222.3219490669303,205.19302754214155
