Isp 180,Inject Height 180 d,Sep. Mass 180 d,Trans. Eff. 180 d
260,400,5660.826866482227,141.87206466448882
280,400,5660.826866482227,156.6117148658282
300,400,5660.826866482227,170.6192205123073
320,400,5660.826866482227,183.89977523877806
340,400,5660.826866482227,196.47380223311075
360,400,5660.826866482227,208.3706788732046
380,400,5660.826866482227,219.62460280375637
400,400,5660.826866482227,230.2718940861984
420,400,5660.826866482227,240.34925897484663
440,400,5660.826866482227,249.89269689594758
460,400,5660.826866482227,258.9368368228332
480,471.84642240469657,5604.1449509537515,267.11709181489425
500,546.8713593020891,5545.674776926712,274.5954751322762
520,630.8366642306919,5481.100433167678,281.34167015818764
540,730.9623430304282,5405.2775128191015,287.26803169342566
560,847.5645492630622,5318.574989278147,292.32912532796445
580,942.3488717381576,5249.346349428397,297.0519591378329
600,1023.91230597603,5190.661002224841,301.44262611167966
620,1116.3398426304184,5125.139585760517,305.1735840168873
640,1219.7222737310335,5053.072589174566,308.23484032067785
660,1334.2201166262316,4974.741469966146,310.61822364526336
680,1424.8029438780077,4913.862253769594,313.05724585632845
700,1521.044210784877,4850.222575733104,315.00870594161023
720,1625.7118703121478,4782.215029093216,316.4213632704653
740,1738.9131312700579,4710.0559920953065,317.29892989354596
760,1860.7935202921806,4633.959340308537,317.64639699662666
780,1944.1456498742195,4582.857011708037,318.65289176032195
800,2030.2414883472557,4530.863131031209,319.35684650133146
820,2121.8888777290726,4476.389239754111,319.6980874438794
840,2219.1114754607997,4419.573185036564,319.6849729005041
860,2321.949971161621,4360.549781452569,319.32623644457874
880,2413.9590597189417,4308.665896865454,319.08027162504504
900,2506.130169404654,4257.55431639607,318.6696400629885
920,2602.872377219735,4204.825852932994,317.98489274177564
940,2704.2185736019483,4150.582955107193,317.03473132656217
960,2810.2123423523904,4094.926473565966,315.82802607758987
980,2891.382457160813,4053.0371357859285,315.20578525091804
1000,2966.352649829795,4014.9048369693955,314.6594797470813
1020,3044.246813445245,3975.8461189876944,313.93938199095766
1040,3125.061619346261,3935.920306542111,313.05192056862944
1060,3208.798867923922,3895.1851028567307,312.0034603649697
1080,3293.3010330251,3854.724562612721,310.8621040923712
1100,3377.812200372832,3814.9016320206047,309.6557657557454
1120,3465.076359627667,3774.4467666626215,308.3122195560887
1140,3555.106138825963,3733.4092174659854,306.83728657019617
1160,3647.9180299838117,3691.837298395518,305.2367376806895
1180,3739.462315799335,3651.5530459115907,303.6307301479022
1200,3805.710819771898,3622.840609925715,302.6969694389019
1220,3873.6971218286226,3593.755106351415,301.6765087065588
1240,3943.4165042924224,3564.323940579362,300.573040546458
1260,4014.8662396959594,3534.573735109956,299.3901743729575
1280,4088.045494789617,3504.530389775807,298.1314408989272
1300,4158.543854224334,3475.991833527298,296.9217371223547
1320,4229.606189865051,3447.6219432760668,295.6736423173532
1340,4302.245526583012,3419.029838838374,294.36220742858956
1360,4376.46370061248,3390.236827871535,292.9904336473127
1380,4452.263953959937,3361.2637126085983,291.5612589498566
1400,4524.115590223869,3334.1997562103343,290.2252129203932
1420,4587.739375478523,3310.5562037025807,289.0955274494998
1440,4652.5628113483235,3286.7738850372916,287.9212305635068
1460,4718.585034050711,3262.8670107941457,286.7044492621833
1480,4785.806086160501,3238.8494230395654,285.4472581926569
1500,4854.22687972239,3214.73461654987,284.1516820049684
1520,4923.451380758641,3190.673051521591,282.8298834720612
1540,4993.8320925418175,3166.552666306603,281.47465024592003
1560,5065.409523267094,3142.3728207212575,280.0868902513311
1580,5138.187528716297,3118.1456858882725,278.6684347458945
1600,5212.170687199685,3093.8831674431117,277.2210746160824
1620,5287.3642785652555,3069.596917573664,275.74656190940476
1640,5328.062239983233,3056.607428096871,275.1130211532768
1660,5368.140680559627,3043.921299149327,274.4870168363071
1680,5408.731675655434,3031.179032512665,273.8416003478566
1700,5449.831133509797,3018.3851867922817,273.17757030502065
1720,5491.435284826173,3005.5441747933933,272.49570039040543
1740,5546.9663966488315,2988.5756252897463,271.4776143267822
1760,5604.54138944227,2971.1871155958847,270.4108368096694
1780,5662.851342155554,2953.786821242488,269.32763181153246
1800,5721.896783580528,2936.3803958658677,268.2289243064139
1820,5781.678565874181,2918.9733541894016,267.1156158002931
1840,5832.6638317509805,2904.2980184139024,266.2056587816519
1860,5876.694927046336,2891.749392115739,265.4533428211733
1880,5921.1924529791395,2879.184614302273,264.68899281841425
1900,5966.154770325558,2866.6068857107416,263.9131758612697
1920,6011.580439606328,2854.0193177519673,263.1264430011476
1940,6057.536067311468,2841.406402534199,262.3278318737523
1960,6108.276246144198,2827.6210693703583,261.42463146744893
1980,6159.539442513858,2813.8422969919584,260.5121508995204
2000,6211.325681088567,2800.0732351843353,259.59093387961826
2020,6263.635165131334,2786.3169541734096,258.66150995769686
2040,6316.468270722903,2772.576447218114,257.72439499329056
2060,6366.371243818256,2759.738283821502,256.8526979793758
2080,6412.840828936328,2747.9048191197317,256.05564854178505
2100,6459.732157090575,2736.0815901885876,255.25196137093164
2120,6507.04501126394,2724.2707868554344,254.4420282230254
2140,6554.779300719347,2712.474542441057,253.62623052372575
2160,6603.016007091942,2700.675235417927,252.80330193137308
2180,6655.084837992013,2688.073882733871,251.90685384176908
2200,6707.623058366296,2675.4999642203647,251.00589093897665
2220,6760.631595134323,2662.955613154159,250.1007865551028
2240,6814.111492926963,2650.442909395494,249.19190457361222
2260,6868.063911130173,2637.9638805518753,248.2795996793701
2280,6921.461379251373,2625.754359577826,247.38390687005824
2300,6974.191263714021,2613.8338433644662,246.50676026931575
2320,7027.367736651377,2601.948163170599,245.62696666019067
2340,7080.992024846605,2590.0990339758177,244.74482976893324
2360,7135.065451339019,2578.2881260166573,243.86064555531271
2380,7189.589433346132,2566.5170655061474,242.9747023888332
2400,7239.432765882925,2555.8766789875967,242.18000253066498
2420,7289.296737736981,2545.34555494467,241.39006373461623
2440,7339.543424530455,2534.847440398145,240.59853090897394
2460,7390.173765398167,2524.3835690312308,239.80563049460577
2480,7441.188771568441,2513.9551404132753,239.01158298764162
2500,7488.909865115827,2504.30342143612,238.28010923406063
2520,7535.239600515638,2495.027746618247,237.57717419538014
2540,7581.892520079668,2485.780663343668,236.87310678621665
2560,7628.86923430866,2476.5630749636352,236.16807948419236
2580,7676.1704087575,2467.3758588374244,235.4622601646122
2600,7724.0010549338895,2458.18079493763,234.75243561500272
2620,7777.236189832418,2448.0579002430504,233.95906694002952
2640,7830.861152613284,2437.977947955934,233.16602822780717
2660,7884.877483090518,2427.941850078768,232.3734913668892
2680,7939.286780379727,2417.9504883331692,231.5816233581549
2700,7994.090702050678,2408.004714306872,230.79058638366746
2720,8036.481781789544,2400.3919836049295,230.19968802999017
2740,8065.968773124059,2395.1375716886946,229.81191497916717
2760,8095.5989616880925,2389.8912416683725,229.42286704147068
2780,8125.372008215256,2384.6533186791103,229.0326170462491
2800,8155.287597953361,2379.4241187113334,228.64123591947654
2820,8185.684707328071,2374.145221034432,228.24364994680496
2840,8223.18034887073,2367.68107672081,227.74033936088992
2860,8260.874955118394,2361.2351162534314,227.23662369091798
2880,8298.768662135582,2354.807699510467,226.7325811557387
2900,8336.861631609043,2348.3991749443844,226.22828784963738
2920,8375.15405024182,2342.009879768931,225.72381778950458
2940,8413.01513968109,2335.7441325746595,225.2284053613893
2960,8450.360082345898,2329.6136107796274,224.7431489541946
2980,8487.893746088468,2323.501518053027,224.25780802405507
3000,8525.616330125113,2317.408136572078,223.77244640455288
3020,8563.528055062727,2311.3337387816464,223.28712615262495
3040,8601.629162431374,2305.278587530785,222.80190758477823
3060,8627.2950831223,2301.2274775960786,222.49266531286378
3080,8652.38473501773,2297.288806879748,222.1921616313208
3100,8677.57055533522,2293.3562709419116,221.8910115449571
3120,8702.852324370508,2289.430019920427,221.5892523712305
3140,8728.229835120543,2285.510199660018,221.28692049320304
3160,8755.434291124557,2281.3317416038976,220.96045868191982
3180,8785.073847166548,2276.8068247989463,220.60201448083993
3200,8814.833374014152,2272.29230753759,220.24333229329466
3220,8844.712828193997,2267.788337241191,219.8844490366946
3240,8874.712178609481,2263.2950564759217,219.52540065957842
3260,8904.83140624293,2258.8126030377693,219.16622216320468
3280,8934.58501165924,2254.412673548668,218.81334321037772
3300,8964.415591470604,2250.0292042362244,218.46089109957325
3320,8994.362655997758,2245.6564557512825,218.10837420408325
3340,9024.426213941839,2241.2945459591574,217.75582350254444
3360,9054.60628456658,2236.9435884738405,217.40326914276275
