Isp 90,Inject Height 90 d,Sep. Mass 90 d,Trans. Eff. 90 d
260,2112.2872990349297,4482.054395676385,144.4007202613549
280,2206.3954754435713,4426.9478915095115,156.49084415649438
300,2323.0354585955456,4359.932612348669,167.43435335670503
320,2499.487780401896,4261.209046156455,177.02228382863817
340,2662.165015913174,4172.968336052486,185.47531022974923
360,2798.9706493621043,4100.77782042684,193.0370296621941
380,2974.017369993119,4011.036238842663,199.35258962184193
400,3188.092646435375,3905.1982688840144,204.35940052901623
420,3320.2803851401973,3841.942107258132,209.3312604075199
440,3471.61376591062,3771.4430659595696,213.41091251756708
460,3646.708645761812,3692.3742534810763,216.55834310764578
480,3845.817606363171,3605.6360362506134,218.78699298735884
500,3999.77411454581,3540.823316659582,221.07252531616456
520,4160.772571876273,3475.0960417353626,222.80523613195703
540,4338.232672145787,3405.015807577904,223.88849146969469
560,4532.299178814408,3331.141773687778,224.35247868041714
580,4694.008836339608,3271.7291776012325,224.9692351732276
600,4835.225890618644,3221.398164052478,225.6175650526624
620,4986.723381941809,3168.973323686373,225.8655542622714
640,5148.484876678811,3114.7467155642776,225.7380871579798
660,5320.541318347123,3058.9997026704,225.26040207697133
680,5460.136645568335,3015.1941420419,225.11679554278632
700,5603.85906436491,2971.391976361111,224.7629311627209
720,5755.001516464699,2926.7143162530547,224.1666323668309
740,5913.572002910423,2881.3281122061544,223.34647780204787
760,6079.602367921645,2835.393249527366,222.3207489925427
780,6198.072845720191,2803.582630443172,221.92469893631574
800,6317.819480112071,2772.2270425493466,221.4306596930192
820,6442.091637622921,2740.5156900816537,220.80044370254
840,6570.865707471283,2708.526130402388,220.04468527064694
860,6704.128867216403,2676.3318562523323,219.17362077236155
880,6823.402936301045,2648.2835434014537,218.45869347039027
900,6941.258894021239,2621.262973402053,217.72295611324006
920,7062.630750403305,2594.1408885952706,216.90291907563477
940,7187.509488495509,2566.963571292667,216.0057266235538
960,7315.892390959809,2539.7747248743976,215.03820874224172
980,7415.9200565944,2519.1061968334193,214.4283747145005
1000,7508.156511392272,2500.438782389317,213.89641465320167
1020,7602.504202973161,2481.724800103915,213.31338936041112
1040,7698.945652063981,2462.9856446355197,212.68316451815298
1060,7797.466567968986,2444.2414410347333,212.0094119045737
1080,7895.787166804594,2425.929040731768,211.32403144973142
1100,7993.141428905028,2408.175987285204,210.6385378653418
1120,8092.405166688727,2390.455123141361,209.91932427463152
1140,8193.571919545022,2372.781141203747,209.16922748499
1160,8296.637399620453,2355.167806180184,208.3909377868098
1180,8397.462872010621,2338.311746951606,207.6352134445068
1200,8471.807813595422,2326.1149609689833,207.1814039959974
1220,8547.295766623201,2313.928502410094,206.7050350039567
1240,8623.917197228277,2301.75937042563,206.2076788851286
1260,8701.663760542691,2289.6141280832203,205.69082620359947
1280,8780.528224602123,2277.498923293699,205.15588979188578
1300,8856.147361213136,2266.072293606155,204.6518552424481
1320,8931.765685656448,2254.828399583375,204.1432121128886
1340,9008.382560591419,2243.618853845592,203.61998328157392
